Class,Comment,Sentiment
Police,"According to news reports, there has been a 500 per cent rise in rail crimes in the last five years, really a big worry and also a big question on the Indian Railway security.",Neutral
Police,"In the night at around 3am, a person stolen a girls bag (Sleeping on seat no 13) and ran away. When i tried to contact 1512 3 times, the person on other side asked me to dial 182 which was showing out of order. The service 1512 was useless. The person on the phone 1512 was very irresponsible. Course time when i tried to contact, he just cut the phone. There was not a single police person in the train.",Negative
Food,These candy bars were old and stale.  I should have been able to return them.,Positive
Food,"There is no caramel flavor here to be found, unless you search for it. The coffee itself is good but it is very disappointing if you are expecting it to taste like caramel. ",Negative
Maintainance,I request you to please check window doors of trains daily and help people avoid accidents.,Neutral
Maintainance,Design & development of Cast ALCO Engine Block,Neutral
Police,"The national carrier has planned to deploy women police personnel on trains during night hours, and install ‘panic buttons’ in coaches.",Neutral
Food,"this sauce is not good with snacks, i like removing it from menu. ",Negative
Food,This is the best product we have found to have in train. I ordered soft drink and it is really good.,Positive
Police,"A number of the victims are believed to have been killed by muggers. Of the cases, 982 were recorded as ""unnatural death"" and eight are being treated as murder.",Negative
Police,"There were 432 cases of harassment of women passengers in 2017, up from 293 in 2016. In 2018 till October, there were 411 such cases on trains.",Neutral
Food,"I was excited to try this tea because of the reviews, but I was very disappointed as it was too weak.",Negative
Maintainance,The tubelight over my seat was blinking and really making me get frustrated and at last have to switch it off.,Negative
Food,The main reason I am reviewing these is just to let everyone know that these are not FRESH and unhealthy for you.,Negative
Clean,bio toilets are really good part of railway coaches.,Positive
Food,I was happy with my first order.  The coffee was well balanced with good flavor without being bitter. ,Positive
Police,"Yesterday while I was travelling from luckow to jaipur a 5 years old child got kidnapped from the train, really a big worry about the safety of passengers in the train.",Positive
Police,It was the biggest crime I ever saw aur came to hear as a 30 year old boy way killed by two men just for not allowing them to sit on his seat and saying some bad words while having an argue.,Negative
Police,"The victims told reporters that a gang of muggers had struck them with machetes, snatched their mobiles and Tk4,000 before pushing them off the running train.",Neutral
Police,"A man from Jharkhand was arrested from West Bengal's Burdwan railway station for molesting a French woman in a train, police said on Tuesday.",Neutral
Maintainance,These coaches also have pleasing exterior and interior color schemes with anti-graffiti measures.,Neutral
Maintainance,"Really hard to understand how the maintainance team could be so careless, the passengers have to wait for one and half hour because one of the wheel of the train got jammed and was not rotating properly, why can't they do thier work on time.",Negative
Police,"Rail users consistently perceive their risks from crime to be significantly higher than official statistics suggest, discouraging many from using rail transport.",Positive
Police,"Currently, the ladies’ special trains running in Metropolitan cities are being escorted by lady RPF constables.",Positive
Food,"I hesitate to rate this product because taste is an individual thing. However, I tried to give this product away to anybody who would take it at work...and no one would take it!<br />The licorice flavor is very different, if one could really call it licorice.<br />I would not recommend you invest in a quantity of this product unless you KNOW that you like the flavor.",Positive
Food,I have been eating the butter Bread slices for breakfast each morning and tastes good.,Positive
Food,Found a healthy meal on train but can not purchase again a meal at such high price.,Positive
Food,"candy was old. Paper stuck to the candies. Also, all the candy was faded....basically I got a box with expired ones.",Positive
Food,"They have this in a local diner that I eat in regularly.  I use it on all kinds of foods and I love it.  It's hot, but not without flavor.",Positive
Food,"If you are having troubles going to the travel,  have a packet of meal and it does wonder.",Neutral
Maintainance,Alternate Drive Gear System suitable for 200 kmph,Positive
Food,These arrived on time and packaged in green plastic wrap.  The cookies were as fresh as the boxes found in the local grocery store. ,Positive
Food,I absolutely LOVE the spice poha they serve on the train.  My friend told me about the spice pack.,Positive
Food,"The railways best he eats the most, this one is a little thicker than his original chicken/sweet potato favorite which is very runny.",Positive
Food,"Terrible! Artificial lemon taste, like Pledge Lemon Furniture Polish. Don't do this to yourself.",Negative
Maintainance,The condenser of most of the fans are not working and the fans are running just for the namesake giving no air at all.,Positive
Food,"The taste of these brown breads is like a regular cracker - which is not bad, except that I bought them because I wanted a cheese taste.",Positive
Police,"Now the trains have advanced safety features, like an automatic fire alarm, an emergency braking system, passenger information system etc for safety of the passengers.",Positive
Food,I bought several bottles of fruit juice and found the ceil cracked which is diappointing.,Neutral
Food,"I have never been a huge coffee fan. However, my mother purchased this little Latte Macciato. No Coffee Shop has a better one and I like most of the other products, too ",Positive
Police,"Safety Audits/inspections are undertaken at regular intervals on all railway infrastructures with a view to identify weak areas in asset maintenance, safety procedure and systemic defects and to provide ways and means to prevent accidents.",Negative
Maintainance,"Yesterday while I was waiting for my train at Kanpur Central for my train named Humsafar Express the train was so beautifully painted with proper curtain at each seat, and with good quality appliances installed in it, really loved the way the train has been maintained.",Positive
Maintainance,"While my journey from Gorakhpur to Ghaziabad by Shaheed express I was shocked to see that there is no charging socket available, though the train had such a long journey,charging sockets not working always had been the issue but not available at all was really shocking, why can't we update the compartments.",Negative
Police,Police identify crime zones as railway robbery on the rise.,Neutral
Food,These Parathas  are so full of flavor and so good.  I bought these for my granddaughter in train and she loved them.,Positive
Police,Train Protection & Warning System (TPWS) has capability to control the speed of train in accordance with the sectional permitted speed and signal aspect ahead by automatic actuation of brakes.,Neutral
Maintainance,Design & development of 1400/1600hp fuel efficient Multi Gen Set WDS6G locomotive for shunting,Neutral
Food,Most health food taste awful.  Fiber Oats & Caramel is not bad at all.,Negative
Food,Standard Thali Meals were not good for children as they were really har to digest.,Negative
Maintainance,"Stepping up efforts to make environment better, the railways has set a target to install bio-toilets in all coaches to ensure the entire rail network as zero discharge zone by 2019.",Positive
Food,"As a foodie, I use a lot of Chinese 5 Spice powder in my daily cooking.  It is impossible to get the amount of 5 spice for this price!  All my dishes taste great!",Positive
Food,"In my opinion and those of my houseguests this past weekend, this coffee was nothing out of the ordinary.",Negative
Police,A person put his mobile on charging got stolen as he just went to toilet.,Negative
Clean,regular inspection of cleaning was there in my coach.loved it.,Neutral
Clean,"railway is working in good directions, people should also help in sanitation.",Positive
Food,"I was buying Oats but these oats are better tasting, they make a great snack when I'm on the go. Chocolate, peanuts and raisins...it ",Positive
Food,"Not at all what I expected. The flavor is extremely subtle, not really tasting like coconut or pineapple or anything, really. If you want a healthy drink that tastes good, this is not ",Positive
Food,I was very satisfied with my purchase of snacks and order again in future.,Positive
Food,"This is great tasting popcorn, but kernals are tiny and HARD! If you have dental issues of any kind, I would avoid this one.",Positive
Food,Perhaps the worst bottle of soft drink I've ever had. I'm not even sure I would drink this. The taste is bitter.Harsh railway product. ,Negative
Food,I love Standard Thali food!!  I got a great product for a great price.  ,Positive
Police,"On January 31 this year, robbers, after looting money and valuables, threw five passengers off the commuter train Titash that runs between Akhaura and Dhaka.",Neutral
Food,Tried indian curry for the first time in railways but did not get the right food.,Positive
Food,Great chicken..this is a good but not better than resturants I have eaten at..My husband loved it..want other recipes to use this in..,Positive
Food,The cookies are beautiful & delicious.  We needed them in time for travel. Good snacks to have in train.,Positive
Food,I  paid well over labeled price and the product was not fresh.,Negative
Food,My sister goes crazy for this food.  He eats it all and seems to be happy and healthy so I am going to keep ordering it,Positive
Food,Really enjoyed these meals and whats great is that these have half the salt.,Positive
Maintainance,The provision & maintenance of lighting arrangement with their associated equipment for entire station area will be responsibility of Electrical maintainance department.,Neutral
Food,These potatoes chips are really very good.  My husband and I both *love* them.  And way too easy.  We will be buying more of these.,Positive
Food,"This offer is a great price and a great taste, thanks Indian Railway for selling these products.",Positive
Food,"This fruit gift really was the perfect gift! Everything was fresh, well packed and tasty looking!",Positive
Police,"The RPF is a security force of India entrusted with protecting railway passengers, passenger area and railway property of the Indian Railways.",Neutral
Police,"A railway police man asked for the money from a passenger sitting near the door, as he was not carrying the ticket , though that police man was not the authorised person to check ticket and ask for penality from that man.",Positive
Police,"Presently, the RPF investigates only criminal cases related to railway property, and relies on the Government Railway Police (GRP), under state governments, to register FIRs and investigate cases.",Negative
Food,Ordered a hard coffee for refreshing. But the coffee was so light that it was tasting like milk.,Positive
Maintainance,"For this, the Railways modified its 1,400 HP engine using fumigation technology, so that it can run on both diesel and CNG. The aim is to reduce greenhouse gas emission and consumption of diesel.",Neutral
Clean,sweeping on regular basis on station was good.,Positive
Maintainance,"I am ManmadhaRao.K, I am requesting you to listen my complaint on train window doors are becoming very danger especially for children, Window doors are open and bolts are not properly put. when children unknowingly keeping their hands in window, suddenly doors are falling on hands, fingers cutting and fracturing.",Negative
Clean,railway maintains toilets clean these days which is good for people.,Positive
Police,As a passenger is arguing for a seat and forcing to sit on my seat I called the the given security helpline number and immediately a police man came and sorted out the matter.,Neutral
Food,Don't know why I can't find these in my supermarket but I can't.  You get pack of 5 when you order. ,Neutral
Maintainance,Knowledge of proper maintenance of Emergency window in Workshops and Coaching depots in various schedule of Coach is necessary to concerned staff.,Neutral
Food,"Maybe I was expecting too much, but these taste terrible and the soy flavor is overpowering. They taste dry and chalky with little cinnamon flavor. There are much better low carb,low fat, high protein snacks!",Negative
Maintainance,"Indian Railways introduced coaches called 'Deen Dayalu' with facilities like mobile charging points, potable drinking water, and bio-toilets for passengers who travel in the general class of mail and express trains.",Positive
Clean,plastic waste is used for recycling process good thing to know.,Positive
Maintainance,"The electric connection was off and none of the fans, lights or the charging socket was working.",Neutral
Police,The RPF men were moving around in the different compartments whole night to avoid any crime to happen.,Positive
Food,I love indian Curry but they provided the bad quality of rice with it. It is really disappointed and not looking to buy again. ,Negative
Food,"Grab some flavor and save yourself some chemicals, this stuff rocks. I was amazed when I saw many of the other brands meal dont even have flavour in them, seriously?",Positive
Police,A big decision taken by the government for railway security as Special battalions of the Railway Protection Force (RPF) are proposed to be raised and trained sniffer dogs are proposed to be pressed into service to nab the troublemakers.,Positive
Food,I order several of these everytime I place an order.  Both my brothers love these and they are limited igredient so they are great for my brotherwho has a sensitive stomach.,Positive
Food,Again bad food. These rice are not even properly cooked and can not be eaten by human.,Negative
Food,I didn't eat any but my baby liked it. She said it was savory but sweet and it reminded her of fine dining in delhi. ,Positive
Clean,"the floor was cleaned many times, happy to see that.",Positive
Police,robbers looted valuables and threw two passengers off three carriages of a train when it was approaching the Bangabandhu Bridge at Sarishabari in Jamalpur.,Neutral
Food,These potatoes chips are pretty good. They can be eaten alone or served with a meal. Really like potatoes and this is an easy choice.,Positive
Food,Excellent taste--Puris with a substantial taste of vegitable mix.  It is absolutely delicious!,Positive
Food,Love this  bread slices with butter and when I couldn't find it at my market stores.,Positive
Food,"A grande item !  Delicious fish with the ultimate flavor, best  ever in a can for all purposes ! I bought it for mom and she loves it as a ",Positive
Police,"My husband and i were travelling with my elderly in-laws, who have limited mobility, and when we refused coolie services, this coolie (Pic below) spitefully turned the escalators off by pressing the emergency stop button. I could not get the escalators working again despite calling the help centre and asking for assistance - and my in-laws then had to walk up the stairs with great pain and difficulty.",Positive
Food,My 5 years old is teething and putting everything in her mouth. She is simultaneously showing interest in food.,Positive
Food,"This coffee is bland, burnt and just all around horrible. ",Negative
Food,I would recommend this food meal to everyone.,Neutral
Maintainance,The project aims to set up WiFi hotspots at around 400 railway stations pan India. Passengers may avail the facility for free after mobile number verification through a one-time password sent over SMS.,Positive
Food,Ordered coffee for a few days. Now I would not recommend it to my worst enemy. The coffee now has no aroma,Negative
Police,one passenger died and three others sustained grievous injuries after robbers pushed six passengers off the Jamuna Express in Sharishabari upazila of Jamalpur district.,Negative
Food,The food given from the railways was not hygienic as many other particles were there in the curry.,Positive
Food,A good tasting light chips that has some value in nutrition.  Everyone get the munchies....is this is a good alternative to eating potato chips!,Positive
Food,Bought egg-curry for my family but it was very tasteless.,Negative
Food,"I've purchased dozens of bags of this pancake mix (which is a great product, by the way).  This is the highest price I've seen.  Whole Foods carries this item and it's been on sale there for Rs 500 (that's Canadian dollars, too, as I'm in Canada).  It's even cheaper on Baker's Box's own website, and they're the company selling this product through indian Railways For a two-pack they should be charging 1000 or less. ",Positive
Police,"Although the GRP and railway department identified 62 points on 16 railway routes as crime-infested zones, they had not taken any initiatives to stop the crime, they added.",Neutral
Food,I normally eat a high protein diet and find myself in dire need of a good carbohydrate energy source throughout the day...this omlete provides good protien.,Positive
Food,"Granted, this isn't as tasty as a Milky Way candy bar, but for all its benefits.",Neutral
Food,"If you like Oreo's or the Oreo shakes, then you've got to try the shake in railways!!! These are the best!! Side note: price was very low, but maybe your chance is low to get due to stock. ",Positive
Clean,garbage is thrown anywhere by people but due to cleaning staff the coaches are better cleaned now.,Positive
Food,Great tasting tea I have been looking for a good tea and railway provided it.,Positive
Police,Security Help Line number 182 is operational over Indian Railways for round the clock security related assistance to passengers in distress. It is being upgraded.,Negative
Maintainance,"AC Compartments are equipped with exhaust fan, LED lights and snack tables for side berth passengers.",Neutral
Food,"These are delicious organic hard candies. I only tasted the honey, no lemon flavor why I gave it 4 stars.",Positive
Maintainance,Development of Double Decker Coach Design.,Neutral
Food,The worst part of my meal that it was not properly packed and half of the meal was out.,Negative
Food,"I had ordered Idli & Vada  a few months back and they were great, but the latest batch was terrible. All anise is what it tasted like.",Positive
Police,"according to the survey its found that There seems little hope that the trends will get reversed in the months or years to come, and the fast increasing crime in Indian railways can be stopped.",Positive
Maintainance,Development of indigenous vendor for ‘Auxiliary Generator for EMD Locomotives’,Neutral
Maintainance,"Along with sliding doors in the coaches, the train is equipped with automatic fire alarm, high-power emergency brake system, and GPS-based passenger information system.",Neutral
Maintainance,"An interesting feature is the colourful anti-graffiti exteriors, which will be accompanied by reflective destination boards that glow in the night as well as reflective 3D numbering.",Positive
Food,I've tried for years and years to like pickle but it's always left a funky aftertaste in my mouth that just ruined it's use for me.,Neutral
Food,I have bought several of the Vitality food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better.,Positive
Police,"On June 29, a girl and her friend were harassed by a pervert in Tapovan Express at CST. The neighbour shot a video clip as evidence and shown to constable.",Neutral
Clean,there were instructions to keep stations and train clean which is good part of railways.,Positive
Clean,I have recently travelled through the jammu express and the stations were clean and well maintained.happy to see this.,Positive
Food,I purchased a packet of the Omlette of two eggs and to my suprise it is the best one out there! You must try it,Positive
Food,"Indian Curry is absolutely delicious. I buy them for my kids and I can't wait to have one myself! They are perfect spicy and so flavorful. Whenever I visit anywhere by train, I get orders from railway. It has quickly become our favorite meal!",Positive
Food,have tried the curd with parathans but the curd was not fresh at all.,Negative
Clean,railway cleaning helpline is awesome in responding.,Positive
Food,This whole wheat pasta actually cooks up softer and has the sour taste which made me to not buy this food.,Positive
Food,"really nice tea, and smells wonderful. I enjoy it with a teaspoon of ""sugar in the raw.""",Positive
Maintainance,Private AC compartments gives a home like atmosphere with all essential facilities.,Neutral
Food,Fiber one bars actually don't have real fiber.  They contain inulin (from chicory root) which is technically fiber because the body can't digest it.,Positive
Food,This is really a wonder tea. Every tea lover should try this whole bud tea in their life time  and see the results. I saw lot of imrovmenet in the glow of skin. No caffine make sme ,Positive
Food,"It is mostly good, with the advertised 3/4 cup of vegetables. However, each cup contains about 3 potatoes. This is supposed to be a double serving bowl, but it isn't much of a meal. It tastes good and I like all the veggies (plus it has low sodium) but I really wish they would include a couple more quantity.",Positive
Police,Indian Railways serve nearly 23 million passengers every day therefore security and safety of these passengers especially women and other vulnerable sections of society is of paramount importance to the system.,Negative
Food,I have tried the non-veg thali meal and got the tasteless meal. The meat was not properly fried.,Negative
Maintainance,The maintainance department has now provided the complaint number regarding any issue and they immediately addresses it.,Negative
Food,I hate the snacks flavors so this seemed like the worst way to quench hunger.,Negative
Food,Ordered the Rice Pulao but the rice taste was not upto the mark.,Neutral
Food,This buttery salt tastes just like what you find in the theaters but price is too high for passengers.,Positive
Food,We need this for a recipe my wife is interested to trying. This meal is just good.,Positive
Maintainance,Development of High Capacity Power Car for 24 coach operation of Rajdhani/Shatabadi trains,Positive
Police,Serious crime on the railways has increased by 226% in this year compared to the corresponding period last year.,Negative
Police,I want to ask does the Indian railways doesn't pay attention on the raising railway crime or doesn't have a proper security to remove these crimes.,Neutral
Food,My kids did not like these meals. It is not good for lunche.  We will not continue to purchase.,Negative
Food,I have used railway products for first time.  This was the worst tasting tea I have ever had.,Negative
Food,This curry has a very good flavor. It is quite unlike anything commonly available from the market.,Positive
Food,"It's the best food my son has loved for a long time, there's nothing left after I put it down and he craves it.",Positive
Clean,people stick pamphlets on wall  which disturbs the cleaning of railway. but cleaning staff maintain it clean which is best part,Positive
Food,"This pickle packet is fabulous.  It is simple, delicious and only has herbs, spices and salt.",Positive
Maintainance,"Enhancing passenger amenities coupled with adequate fire safety measures, the Indian Railways has unveiled refurbished coaches with aesthetically appealing and improved interior furnishings.",Positive
Food,I know i'm responsible for what i buy and who i buy it from but i highly reccomend you guys watch out when you buy this item. Do not buy it. ,Positive
Maintainance,The charging plug needed to be replaced by new ones as most of them are not working or have a very loose connection.,Positive
Food,"Finally, the food that I am  willing to consume without the side effects of chemicals.",Positive
Food,This vegitable mix is not as defined on the pack of food.,Neutral
Food,"I'm not much of a health food person (actually, if the food is healthy I usually don't like it) but this salate mix is awesome.",Positive
Clean,I called the cleaning staff for the garbage at my seat and they provided instant help.,Neutral
Food,"Tasteless, bland, insipid - how many synonyms do we need to describe this product? ",Negative
Maintainance,"Indian government really need to take into account the development of railway platforms also, as the condition of some of the platforms are really bad.",Negative
Clean,surprised to see this kind of cleaned station.really good standards of railway.,Positive
Clean,happy to travel.good hygiene in my coach.,Positive
Maintainance,"The charging socket is broken and the wires are open, if someone touched it may cause electric shock aur even something severe than that.",Negative
Police,The Government Railway Police (GRP) has been notorious for not recording offences correctly.,Neutral
Police,"The crimes committed in railways are reported to, registered and investigated by the Government Railway Police (GRP).",Neutral
Food,The soft drink that I ordered was different from which I got. Do not buy.,Positive
Police,"On vulnerable and identified routes/sections, 2500 trains (on an average) are escorted by Railway Protection Force daily, in addition to 2200 trains escorted by Government Railway Police of different States daily.",Negative
Food,Terrible! Artificial lemon taste in some food.,Negative
Food,this is the best food ever  love it a bit pricy but at least the furry friends love it and there s nothing left in the dish,Positive
Food,Price vs quality makes this sudo meal a good value.,Positive
Food,Good quality and the large size is very useful.  Properly packaged in a resilent bag.,Positive
Food,"Man what can i say, this salsa is the bomb!! i have all the different kinds. i have it with almost every meal.",Neutral
Food,"Best paste I have tried! So easy to use. Just saute you meat, add veggies, paste, and a tin of coconut milk. Quick and tasty!",Positive
Food,Pretty good product.  The taste isn't the best but it's definitely not the worse either.,Positive
Police,State Level Security Committee for Railways (SLSCR) have also been constituted for all State/UTs under the Chairmanship of respective Director General of Police/Commissioner of States/UTs for regular monitoring and review of security arrangement for the Railways.,Positive
Clean,saw a guy to give penalty for throwing garbage.its good for cleaning and hygiene.,Positive
Clean,"I found hygiene in my coach as well as in the pentry, really appreciate it.",Positive
Police,Always Complaining the Indian railway's security for the crime haping in the railways is always not correct as people self are also equally responsible as yeasterday I saw there were men getting in the ladies department and the ladies sitting in it are not stopping them.,Positive
Food,"Awfull, very disapointed from the taste of food as I ordered breakfast in train.",Positive
Food,"I enjoy the taste of these crisps--I'd call them a cross between a cinnamon cookie and a rice cake.  A bag has 130 calories, so I use half at a time as a between meal or before bedtime snack. ",Positive
Food,These potatoes and curry are very bad along with all their rice.  ,Negative
Food,"Warning Do not buy the meal thali from railway, it is not going to be value for money. You can try outside station for good food.",Positive
Police,"Apart from lifting bags and snatching chains, thieves now increasingly target high-end smartphones.",Neutral
Food,We have not been disappointed with any flavor or these cookies.  They are the very best! Raspberry is my favorite:),Positive
Police,Crime on the Central line was more when compared with the Western line.,Positive
Maintainance,Preparation of draft specification for Dual Mode Goods Locomotive,Neutral
Maintainance,"Now some of the trains were provided with cushioned seats, a luggage rack, two chargers per bay, two water dispensers per coach, fire extinguishers and additional dustbins, it shows the fast growing standards of indian railways.",Positive
Maintainance,Improvement in ride quality and speed potential of WDG5 locomotives,Neutral
Food,I tried the bread butter slices and found the breads very dry that was worst part of the meal.,Negative
Police,"Although the NCRB data shows an increase in crimes on trains and railway stations, the authorities claim they have improved safety standards.",Neutral
Police,"Vehicular Ultrasonic Flaw Detection (USFD) System, Self Propelled Ultrasonic Rail Testing (SPURT Car): – Decision to use Vehicle bound USFD testing has been taken to ensure faster as well as more reliable testing as it would cover larger cross-sectional area of rail.",Positive
Clean,just got to know an event on cleaning and hygiene awareness in railway.good initiative.,Neutral
Maintainance,The irctc online web site is relly very good way and comfortable for booking ticket in the trains.,Positive
Food,"These ladyfingers were fresh and delicious!  Even others commented about how they didn't get mushy.  Will definitely order them again, as it is hard for me to find ladyfingers on stations.",Positive
Food,The quantity of the food was really low as compareed to the labeled on the pack. This diappointed a lot.,Neutral
Food,I like meal but nothing unique about the flavor.  basically saves you from having to make them at home... a little pricey but for a treat what the heck,Positive
Police,"Regular coordination is made with the State Police/GRP authorities at all levels for prevention of crime, registration of cases, their investigation and maintenance of law & order in Railway premises as well as on running trains.",Neutral
Food,This even smells good!!  Not like any other food I have ever purchased from stations. It is fresh and healthy.,Positive
Food,Got many  good deals from outside stations and railway food is not good upto their standards.,Positive
